New instances\A7.txt,1344,9990,11376
New instances\A7.txt,1344,9990,11376
New instances\A7.txt,1344,9990,11376
New instances\A7.txt,1344,9990,11376,1
New instances\TestesCustos\A6.txt,1232,8408,9696,1.56385
New instances\TestesCustos\A6.txt,1344,9990,11376,1.10038
New instances\TestesCustos\A6.txt,1344,9990,11376,1.10038
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B6.txt,1456,8544,10112,1.98483
New instances\TestesCustos\B1.txt,2016,14646,16720,0.999744
New instances\TestesCustos\B6.txt,2016,15324,17392,0.990113
New instances\TestesCustos\B6.txt,2016,15324,17392,0.990113
New instances\TestesCustos\B6.txt,2128,16680,18848,0.990108
A6.txt,1344,9764,11152,0.997067
A6.txt,1344,9764,11152,0.997067
A6.txt,1344,9764,11152,0.997067
B6.txt,1904,14646,16608,0.998106
B6.txt,1904,14646,16608,0.998106
New instances\TestesCustos\B6.txt,2016,14872,16944,1.00011
New instances\TestesCustos\A6.txt,1456,11346,12832,1.00009
New instances\TestesCustos\B6.txt,2016,14872,16944,1.00011
New instances\TestesCustos\B6.txt,2128,16680,18848,0.999948
New instances\TestesCustos\B9.txt,2128,17132,19296,1
New instances\TestesCustos\B9.txt,2128,17132,19296,1.00005
New instances\TestesCustos\B6.txt,1680,11256,13024,1.00005
New instances\TestesCustos\B6.txt,1568,10352,12016,1.00005
New instances\TestesCustos\B6.txt,1456,8318,9888,0.999948
New instances\TestesCustos\B6.txt,2016,15324,17392,0.999947
New instances\TestesCustos\B6.txt,2016,15324,17392,0.999947
New instances\TestesCustos\B1.txt,2016,14646,16720,0.999744
New instances\TestesCustos\B6.txt,2016,15324,17392,1
New instances\TestesCustos\B6.txt,2016,15324,17392,0.999878
New instances\TestesCustos\B6.txt,2128,16228,18400,0.692523
New instances\TestesCustos\B6.txt,1456,8544,10112,0.698551
New instances\TestesCustos\B6.txt,1456,8544,10112,0.623235
New instances\TestesCustos\B6.txt,1904,14194,16160,0.807048
New instances\TestesCustos\B6.txt,1904,14194,16160,0.807048
New instances\TestesCustos\B6.txt,1344,7414,8880,0.693208
New instances\TestesCustos\B6.txt,1344,7414,8880,0.693208
New instances\TestesCustos\B6.txt,2352,19618,21984,0.683682
New instances\TestesCustos\B6.txt,2352,19618,21984,0.683682
New instances\TestesCustos\B6.txt,1792,12838,14704,0.754478
New instances\TestesCustos\B6.txt,2016,16228,18288,0.705809
New instances\TestesCustos\B6.txt,2016,16228,18288,0.705809
New instances\TestesCustos\B6.txt,2128,16680,18848,1.00005
New instances\TestesCustos\B6.txt,2128,16680,18848,1.00005
